No.,Date,Media,Headline,Journalist,Type,Angle,Remark
1,2024/12/26,매일일보,글로벌 공략하는 제약·바이오 스타트업…트럼프에 기대감 상승,오시내,참고,트럼프 출범 이후 제약 스타트업 변화 관련 멘트,
2,2024/12/16,이데일리,"스파크랩 육성 ‘폴리머라이즈’, 중기부 KSGC 2024 대상 수상",박소영,참고,"폴리머라이즈, K-스타트업 그랜드 챌린지(KSGC) 2024’ 데모데이 대상 수상",
3,2024/11/26,머니투데이,"""바이오·헬스케어 초기 스타트업 육성·투자""…손 맞잡은 AC-VC",최태범,보도자료,"스파크랩, 파트너스인베스트먼트 업무협약 체결",
4,2024/11/26,청년의사,"스파크랩-파트너스인베스트먼트, 바이오 스타트업 육성 '맞손'",김찬혁,보도자료,"스파크랩, 파트너스인베스트먼트 업무협약 체결",
5,2024/11/26,중기이코노미,“스타트업 투자 혹한기 내년에도 계속될 전망”,채민선,참고,스타트업 트렌드리포트 2024,
6,2024/11/26,지디넷코리아,"스파크랩-파트너스인베스트먼트, 바이오·헬스케어 스타트업 돕는다",백봉삼,보도자료,"스파크랩, 파트너스인베스트먼트 업무협약 체결",
7,2024/11/26,뉴스탭,"스파크랩, 파트너스인베스트먼트와 함께 바이오 및 헬스케어 스타트업 지원 나선다",이준문,보도자료,"스파크랩, 파트너스인베스트먼트 업무협약 체결",
8,2024/11/26,테크42,"스파크랩, 파트너스인베스트먼트와 바이오ㆍ헬스케어 스타트업 지원 나선다",김광우,보도자료,"스파크랩, 파트너스인베스트먼트 업무협약 체결",
9,2024/11/26,K스타트업밸리,"파크랩, 파트너스인베스트먼트와 업무협약 체결",NA,보도자료,"스파크랩, 파트너스인베스트먼트 업무협약 체결",
10,2024/11/26,스타트업투데이,"스파크랩-파트너스인베스트먼트, 맞손∙∙∙바이오∙헬스케어 분야 스타트업 투자",김석진,보도자료,"스파크랩, 파트너스인베스트먼트 업무협약 체결",
11,2024/11/26,와우테일,"스파크랩, 파트너스인베스트먼트와 바이오헬스케어 스타트업 지원",정명화,보도자료,"스파크랩, 파트너스인베스트먼트 업무협약 체결",
12,2024/11/26,바이오타임즈,"스파크랩-파트너스인베스트먼트, 바이오·헬스케어 스타트업 육성 지원 맞손",김수진,보도자료,"스파크랩, 파트너스인베스트먼트 업무협약 체결",
13,2024/11/26,라포르시안,"스파크랩, 파트너스인베스트먼트와 바이오·헬스케어 스타트업 지원",정희석,보도자료,"스파크랩, 파트너스인베스트먼트 업무협약 체결",
14,2024/11/26,테크M,"스파크랩‧파트너스인베, 바이오·헬스 스타트업 육성 뜻 모았다",조성준,보도자료,"스파크랩, 파트너스인베스트먼트 업무협약 체결",
15,2024/11/26,매일경제,"스파크랩, 파트너인베스트먼트와 바이오·헬스케어 스타트업 지원 나선다",이영욱,보도자료,"스파크랩, 파트너스인베스트먼트 업무협약 체결",
16,2024/11/26,서울경제,"스파크랩, 파트너스인베스트먼트와 손잡고 바이오·헬스케어 스타트업 육성",김기혁,보도자료,"스파크랩, 파트너스인베스트먼트 업무협약 체결",
17,2024/11/26,아시아경제,"스파크랩, 파트너스인베스트먼트와 바이오·헬스케어 스타트업 지원",김철현,보도자료,"스파크랩, 파트너스인베스트먼트 업무협약 체결",
18,2024/11/26,뉴스웍스,[#헬스콕] '인바디핏플러스' 출시·스파크랩-파트너스인베 '업무협약',문병도,보도자료,"스파크랩, 파트너스인베스트먼트 업무협약 체결",
19,2024/11/26,약업신문,"스파크랩, 파트너스인베스트먼트와 바이오ㆍ헬스케어 스타트업 지원",이권구,보도자료,"스파크랩, 파트너스인베스트먼트 업무협약 체결",
20,2024/11/26,이뉴스투데이,"스파크랩, 파트너스인베스트먼트와 바이오·헬스케어 스타트업 지원 나선다",고선호,보도자료,"스파크랩, 파트너스인베스트먼트 업무협약 체결",
21,2024/11/26,플래텀,"스파크랩, 파트너스인베스트먼트와 바이오ㆍ헬스케어 스타트업 지원 나선다",NA,보도자료,"스파크랩, 파트너스인베스트먼트 업무협약 체결",
22,2024/11/26,데이터넷,"스파크랩·파트너스인베스트먼트, 바이오헬·스케어 스타트업 지원 맞손",강석오,보도자료,"스파크랩, 파트너스인베스트먼트 업무협약 체결",
23,2024/11/26,벤처스퀘어,"스파크랩, 파트너스인베스트먼트와 업무협약 체결",오효진,보도자료,"스파크랩, 파트너스인베스트먼트 업무협약 체결",
