No.,Date,Media,Headline,Journalist,Type,Angle,Remark,,,,,,,,,,,,,,,,,,,,
1,2025/12/29,동아일보,’한우·전통주 조합’으로 장관상 쾌거··· 정수문화마을의 저력은? [ICT이노베이션스퀘어확산사업],남시현,언급,스파크랩이 육성하는 스타트업 소개(바바그라운드),,,,,,,,,,,,,,,,,,,,,
2,2025/12/26,동아일보,"커넥트제로, ‘낚맛’ 고도화로 전국구 서비스 노린다 [ICT이노베이션스퀘어확산사업]",김영우,언급,스파크랩이 육성하는 스타트업 소개(커넥트제로),,,,,,,,,,,,,,,,,,,,,
3,2025/12/23,매일경제,"""오피스 업계의 메리어트…스파크플러스의 목표죠""",이영욱,언급(지면),손주환 스파크플러스 대표 인터뷰서 스파크랩 언급,,,,,,,,,,,,,,,,,,,,,
4,2025/12/23,동아일보,농촌관광 ‘아그리투어리즘’ 뜬다…AI로 상품 기획하는 ‘노는법’의 상생법 [ICT이노베이션스퀘어확산사업],남시현,언급,스파크랩이 육성하는 스타트업 소개(바바그라운드),,,,,,,,,,,,,,,,,,,,,
5,2025/12/18,중앙일보,"[더버터] ‘연구자’를 ‘창업가’로 … 기후테크, 산업이 되다",문일요,언급(지면),그린 소사이어티 C-Tech Fair서 홍성진 스파크랩 전무 발언 인용,,,,,,,,,,,,,,,,,,,,,
6,2025/12/17,테크42,"스파크바이오랩, 이지스자산운용과 ‘라이프사이언스 부동산 사업’ 추진",황정호,보도자료,스파크바이오랩X이지스자산운용 MOU,,,,,,,,,,,,,,,,,,,,,
7,2025/12/17,스타트업투데이,"스파크바이오랩, 이지스자산운용과 ‘라이프사이언스 부동산 사업’ 추진",김지민,보도자료,스파크바이오랩X이지스자산운용 MOU,,,,,,,,,,,,,,,,,,,,,
8,2025/12/17,라포르시안,"스파크바이오랩, 이지스자산운용과 바이오 스타트업 지원  ",정희석,보도자료,스파크바이오랩X이지스자산운용 MOU,,,,,,,,,,,,,,,,,,,,,
9,2025/12/17,의사신문,[의료기기업계 소식] 12월 17일,옥윤서,보도자료(단신),스파크바이오랩X이지스자산운용 MOU,,,,,,,,,,,,,,,,,,,,,
10,2025/12/17,테크월드,"스파크바이오랩, 이지스자산운용과 '라이프사이언스 부동산 사업' 추진",김승훈,보도자료,스파크바이오랩X이지스자산운용 MOU,,,,,,,,,,,,,,,,,,,,,
11,2025/12/17,뉴스탭,"스파크바이오랩·이지스자산운용, 바이오 전용 인프라 구축 맞손",박현수,보도자료,스파크바이오랩X이지스자산운용 MOU,,,,,,,,,,,,,,,,,,,,,
12,2025/12/17,벤처스퀘어,"스파크바이오랩, 이지스자산운용과 업무협약 체결",강진희,보도자료,스파크바이오랩X이지스자산운용 MOU,,,,,,,,,,,,,,,,,,,,,
13,2025/12/17,프라임경제,"스파크바이오랩·이지스자산운용, 부동산 사업 '맞손'",김우람,보도자료,스파크바이오랩X이지스자산운용 MOU,,,,,,,,,,,,,,,,,,,,,
14,2025/12/17,바이오타임즈,"스파크바이오랩, 이지스자산운용과 손잡고 ‘라이프사이언스 부동산’ 본격화",김수진,보도자료,스파크바이오랩X이지스자산운용 MOU,,,,,,,,,,,,,,,,,,,,,
15,2025/12/17,뉴스웍스,[#헬스콕] 시지 '2000만달러 수출탑'·스파크랩-이지스 '업무협약'·동아 '비타그란버라이어티팩 출시'·대웅 '건강친화기업 인증',문병도,보도자료(단신),스파크바이오랩X이지스자산운용 MOU,,,,,,,,,,,,,,,,,,,,,
16,2025/12/17,이데일리,"[마켓인]스파크바이오랩-이지스자산운용, ‘라이프사이언스 부동산 사업’ 추진",박소영,보도자료,스파크바이오랩X이지스자산운용 MOU,,,,,,,,,,,,,,,,,,,,,
17,2025/12/17,베타뉴스,"스파크바이오랩, 이지스자산운용과 라이프사이언스 부동산 사업 추진",이승희,보도자료,스파크바이오랩X이지스자산운용 MOU,,,,,,,,,,,,,,,,,,,,,
18,2025/12/17,약업신문,"스파크바이오랩, 이지스자산운용과 ‘라이프사이언스 부동산 사업’ 추진",권혁진,보도자료,스파크바이오랩X이지스자산운용 MOU,,,,,,,,,,,,,,,,,,,,,
19,2025/12/17,매일경제,"스파크바이오랩, 이지스자산운용과 ‘라이프사이언스 부동산 사업’ 추진",이영욱,보도자료,스파크바이오랩X이지스자산운용 MOU,,,,,,,,,,,,,,,,,,,,,
20,2025/12/17,데이터넷,"스파크바이오랩·이지스자산운용, ‘라이프사이언스 부동산 사업’ 추진",강석오,보도자료,스파크바이오랩X이지스자산운용 MOU,,,,,,,,,,,,,,,,,,,,,
21,2025/12/17,디스커버리뉴스,"스파크바이오랩, 이지스자산운용과 ‘라이프사이언스 부동산 사업’ 추진",정기환,보도자료,스파크바이오랩X이지스자산운용 MOU,,,,,,,,,,,,,,,,,,,,,
22,2025/12/17,와우테일,"스파크바이오랩, 이지스자산운용과 ‘라이프사이언스 부동산 사업’ 추진 ",정명화,보도자료,스파크바이오랩X이지스자산운용 MOU,,,,,,,,,,,,,,,,,,,,,
23,2025/12/17,아시아경제,"스파크바이오랩, 이지스자산운용과 '라이프사이언스 부동산 사업' 추진",최호경,보도자료,스파크바이오랩X이지스자산운용 MOU,,,,,,,,,,,,,,,,,,,,,
