카테고리,기업명(한글),기업명(영문),primaryKeyword,helperKeywords,excludeWords,mustIncludeAny,businessContext,tier,status
competitor,500스타트업,,500스타트업,,,,,,
competitor,굿워터캐피탈,,굿워터캐피탈,,,,,,
competitor,끌림벤처스,,끌림벤처스,,,,,,
competitor,네이버 D2SF,,네이버 D2SF,,,,,,
competitor,대성창업투자,,대성창업투자,,,,,,
competitor,더벤처스,The Ventures,더벤처스,김철우,,,시드 Seed 전문,1,
competitor,더인벤션랩,,더인벤션랩,,,,,,
competitor,두나무앤파트너스,,두나무앤파트너스,,,,,,
competitor,드림플러스,,드림플러스,,,,,,
competitor,디쓰리쥬빌리파트너스,,디쓰리쥬빌리파트너스,,,,,,
competitor,디캠프,D.CAMP,디캠프,박영훈,,,은행권청년창업재단,1,
competitor,라이트스피드,,라이트스피드,,,,,,
competitor,롯데벤처스,,롯데벤처스,,,,,,
competitor,마그나인베스트먼트,,마그나인베스트먼트,,,,,,
competitor,마크앤컴퍼니,,마크앤컴퍼니,,,,,,
competitor,매쉬업벤처스,Mashup Ventures,매쉬업벤처스 (매쉬업엔젤스에서 사명변경),이택경,,,,1,
competitor,메타,,메타,,,,,,
competitor,모비인사이드,,모비인사이드,,,,,,
competitor,뮤렉스파트너스,,뮤렉스파트너스,,,,,,
competitor,미래에셋벤처투자,Mirae Asset Venture Investment,미래에셋벤처투자,김응석,,,,1,
competitor,미시간벤처캐피찰,,미시간벤처캐피찰,,,,,,
competitor,베세머벤처파트너스,,베세머벤처파트너스,,,,,,
competitor,본엔젤스,,본엔젤스,,,,,,
competitor,본엔젤스벤처파트너스,,본엔젤스벤처파트너스,,,,,,
competitor,블루포인트파트너스,Bluepoint Partners,블루포인트파트너스,이용관,,,딥테크 AC,1,
competitor,빅뱅엔젤스,,빅뱅엔젤스,,,,,,
competitor,빅베이슨캐피탈,,빅베이슨캐피탈,,,,,,
competitor,삼성벤처투자,,삼성벤처투자,,,,,,
competitor,새한창업투자,,새한창업투자,,,,,,
competitor,세콰이어캐피탈,,세콰이어캐피탈,,,,,,
competitor,소풍벤처스,,소풍벤처스,,,,,,
competitor,스마일게이트인베스트먼트,,스마일게이트인베스트먼트,,,,,,
competitor,스마트스터디벤처스,,스마트스터디벤처스,,,,,,
competitor,스타트업레시피,,스타트업레시피,,,,,,
competitor,스타트업얼라이언스,,스타트업얼라이언스,,,,,,
competitor,스톤브릿지벤처스,,스톤브릿지벤처스,,,,,,
competitor,스트롱벤처스,,스트롱벤처스,,,,,,
competitor,스틱벤처스,,스틱벤처스,,,,,,
competitor,스프링캠프,,스프링캠프,,,,,,
competitor,시그나이트,,시그나이트,,,,,,
competitor,시그나이트파트너스,,시그나이트파트너스,,,,,,
competitor,시리즈벤처스,Series Ventures,시리즈벤처스,"곽성욱, 박준상",,,동남권 특화 AC,1,
competitor,신용보증기금,,신용보증기금,,,,,,
competitor,신한벤처투자,,신한벤처투자,,,,,,
competitor,씨엔티테크,CNT Tech,씨엔티테크,전화성,,,"푸드테크 기반, 누적 470개사 이상으로 AC 투자건수 1위",1,
competitor,아산나눔재단,Asan Nanum Foundation,아산나눔재단,엄윤미,,,지분투자보다 육성/기부 중심,1,
competitor,안데르센호로위츠,,안데르센호로위츠,,,,,,
competitor,알토스벤처스,Altos Ventures,알토스벤처스,한킴 (김한준),,,,1,
competitor,에이티넘인베스트먼트,,에이티넘인베스트먼트,,,,,,
competitor,엔피프틴,,엔피프틴,,,,,,
competitor,옐로우독,,옐로우독,,,,,,
competitor,오렌지플래닛,,오렌지플래닛,,,,,,
competitor,와이앤아처,Y&Archer,와이앤아처,"신진오, 이호재",,,글로벌 액셀러레이팅 특화,1,
competitor,와이콤비네이터,,와이콤비네이터,,,,,,
competitor,우리벤처파트너스,,우리벤처파트너스,,,,,,
competitor,위벤처스,,위벤처스,,,,,,
competitor,유안타인베스트먼트,,유안타인베스트먼트,,,,,,
competitor,유진투자증권,,유진투자증권,,,,,,
competitor,인사이트파트너스,,인사이트파트너스,,,,,,
competitor,인터베스트,,인터베스트,,,,,,
competitor,임팩트스퀘어,,임팩트스퀘어,,,,,,
competitor,카카오인베스트먼트,Kakao Investment,카카오인베스트먼트,김도영,,,카카오 CVC,1,
competitor,캡스톤파트너스,Capstone Partners,캡스톤파트너스,송은강,,,,1,
competitor,코슬라벤처스,,코슬라벤처스,,,,,,
competitor,쿨리지코너인베스트먼트,,쿨리지코너인베스트먼트,,,,,,
competitor,크레비스파트너스,,크레비스파트너스,,,,,,
competitor,타이거글로벌,,타이거글로벌,,,,,,
competitor,테크스타스,,테크스타스,,,,,,
competitor,패스트벤처스,Fast Ventures,패스트벤처스,박지웅,,,딥테크 컴퍼티빌더,1,
competitor,펀더스클럽,,펀더스클럽,,,,,,
competitor,포스코기술투자,,포스코기술투자,,,,,,
