카테고리,기업명(한글),기업명(영문),primaryKeyword,helperKeywords,excludeWords,mustIncludeAny,businessContext,tier,status
industry_trend,AI 스타트업,,AI 스타트업,,,,,,
industry_trend,AI 에이전트,,AI 에이전트,,,,,,
industry_trend,AI 핀테크,,AI 핀테크,,,,,,
industry_trend,AI 헬스케어,,AI 헬스케어,,,,,,
industry_trend,과학기술정보통신부,,과학기술정보통신부,,,,,,
industry_trend,기업주도 벤처캐피탈,,기업주도 벤처캐피탈,,,,,,
industry_trend,기후테크,,기후테크,,,,,,
industry_trend,넥스트라이즈,,넥스트라이즈,,,,,,
industry_trend,데모데이,,데모데이,,,,,,
industry_trend,딥테크,,딥테크,,,,,,
industry_trend,로보틱스,,로보틱스,,,,,,
industry_trend,모태펀드,,모태펀드,,,,,,
industry_trend,바이오테크,,바이오테크,,,,,,
industry_trend,벤처,,벤처,,,,,,
industry_trend,벤처 투자,,벤처 투자,,,,,,
industry_trend,벤처캐피탈,,벤처캐피탈,,,,,,
industry_trend,벤처캐피털,,벤처캐피털,,,,,,
industry_trend,부산,,부산,,,,,,
industry_trend,산업통상자원부,,산업통상자원부,,,,,,
industry_trend,상장,,상장,,,,,,
industry_trend,생성형 AI,,생성형 AI,,,,,,
industry_trend,서울산업진흥원,,서울산업진흥원,,,,,,
industry_trend,스케일업,,스케일업,,,,,,
industry_trend,스타트업,,스타트업,,,,,,
industry_trend,스타트업 IPO,,스타트업 IPO,,,,,,
industry_trend,스타트업 M&A,,스타트업 M&A,,,,,,
industry_trend,스타트업 글로벌 진출,,스타트업 글로벌 진출,,,,,,
industry_trend,스타트업 시드 투자,,스타트업 시드 투자,,,,,,
industry_trend,시리즈 A 투자,,시리즈 A 투자,,,,,,
industry_trend,시리즈 B 투자,,시리즈 B 투자,,,,,,
industry_trend,씨이에스,,씨이에스,,,,,,
industry_trend,아웃스탠딩,,아웃스탠딩,,,,,,
industry_trend,액셀러레이터,,액셀러레이터,,,,,,
industry_trend,엑시트,,엑시트,,,,,,
industry_trend,오픈이노베이션,,오픈이노베이션,,,,,,
industry_trend,유니콘,,유니콘,,,,,,
industry_trend,인수합병,,인수합병,,,,,,
industry_trend,정부지원사업,,정부지원사업,,,,,,
industry_trend,중소벤처기업부,,중소벤처기업부,,,,,,
industry_trend,창업가,,창업가,,,,,,
industry_trend,창업진흥원,,창업진흥원,,,,,,
industry_trend,창조경제혁신센터,,창조경제혁신센터,,,,,,
industry_trend,컴업,,컴업,,,,,,
industry_trend,케이글로벌,,케이글로벌,,,,,,
industry_trend,케이스타트업,,케이스타트업,,,,,,
industry_trend,코트라,,코트라,,,,,,
industry_trend,콘텐츠진흥원,,콘텐츠진흥원,,,,,,
industry_trend,탄소중립,,탄소중립,,,,,,
industry_trend,투자유치,,투자유치,,,,,,
industry_trend,트라이에브리씽,,트라이에브리씽,,,,,,
industry_trend,팁스,,팁스,,,,,,
industry_trend,팁스(TIPS),,팁스(TIPS),,,,,,
industry_trend,펀드결성,,펀드결성,,,,,,
industry_trend,푸드테크,,푸드테크,,,,,,
industry_trend,한국벤처투자,,한국벤처투자,,,,,,
industry_trend,한국엔젤투자협회,,한국엔젤투자협회,,,,,,
industry_trend,한국초기투자기관협회,,한국초기투자기관협회,,,,,,
