카테고리,기업명(한글),기업명(영문),primaryKeyword,helperKeywords,excludeWords,mustIncludeAny,businessContext,tier,status
sparklabs_self,김유진,,김유진,,,,,,
sparklabs_self,김호민,,김호민,,,,,,
sparklabs_self,스파크 바이오랩스,,스파크 바이오랩스,,,,,,
sparklabs_self,스파크랩,,스파크랩,,,,,,
sparklabs_self,스파크랩 그룹,,스파크랩 그룹,,,,,,
sparklabs_self,스파크랩 글로벌,,스파크랩 글로벌,,,,,,
sparklabs_self,스파크랩 글로벌벤처스,,스파크랩 글로벌벤처스,,,,,,
sparklabs_self,스파크랩 사우디,,스파크랩 사우디,,,,,,
sparklabs_self,스파크랩 컬티베이트,,스파크랩 컬티베이트,,,,,,
sparklabs_self,스파크랩 타이완,,스파크랩 타이완,,,,,,
sparklabs_self,스파크랩 파트너스,,스파크랩 파트너스,,,,,,
sparklabs_self,스파크랩 호주,,스파크랩 호주,,,,,,
sparklabs_self,스파크바이오랩,,스파크바이오랩,,,,,,
sparklabs_self,스파크클로,,스파크클로,,,,,,
sparklabs_self,이한주,,이한주,,,,,,
