Column1,Column2,Column3,Column4
유형,키워드,tone,예외단어
부도/파산,파산,negative,
부도/파산,도산,negative,
부도/파산,부도,negative,
부도/파산,회생절차,negative,
손실/손해,손실,negative,"손실없이,손실방지,무손실"
손실/손해,손해,negative,"손해보험,손해사정,손해평가사"
손실/손해,적자,negative,"인적자원,적자생존,누적자,면적자,실적자료,업적자,적자색,흑자전환,적자탈출,적자개선"
손실/손해,영업손실,negative,
분쟁/고소,소송,negative,"소송대리,법률자문,소송지원,소송대행"
분쟁/고소,피소,negative,
분쟁/고소,고발,negative,"고발프로그램,내부고발제도"
분쟁/고소,분쟁,negative,"분쟁조정,분쟁해결서비스"
위반/적발,위반,negative,"위반사례교육,위반방지"
위반/적발,적발,negative,"적발시스템,적발솔루션"
감소/하락,급락,negative,
감소/하락,급감,negative,
감소/하락,폭락,negative,
부정적평가,논란,negative,"논란없이,논란종식"
부정적평가,비판,negative,"비판적사고,비판적읽기"
부정적평가,의혹,negative,"의혹해소,의혹없이"
사건/사고,횡령,negative,"횡령방지,횡령적발시스템"
사건/사고,배임,negative,
사건/사고,유출,negative,"정보유출방지,유출방지솔루션,유출차단"
사건/사고,리콜,negative,리콜서비스
사건/사고,해킹,negative,"해킹방어,해킹방지,안티해킹,화이트해커"
규제위험,제재,negative,"제재해제,제재완화"
규제위험,규제,negative,"자율규제,규제완화,규제샌드박스,규제혁신,규제개선"
규제위험,처벌,negative,처벌불원
규제위험,행정처분,negative,
법적분쟁,고소,negative,고소취하
법적분쟁,기소,negative,불기소
법적분쟁,구속,negative,"구속력없는,불구속"
운영위험,구조조정,negative,
운영위험,대량해고,negative,
운영위험,경영진교체,negative,
시장위험,시장축소,negative,
시장위험,수요감소,negative,
재무위험,적자,negative,"인적자원,적자생존,누적자,면적자,실적자료,흑자전환,적자탈출"
재무위험,자본잠식,negative,
재무위험,유동성위기,negative,
재무위험,디폴트,negative,
투자유치,투자유치,positive,
투자유치,시리즈,positive,"시리즈물,드라마시리즈,시리즈편"
투자유치,펀딩,positive,
투자유치,유치,positive,
성장,흑자전환,positive,
성장,매출증가,positive,
성장,역대최대,positive,
성장,돌파,positive,
성과/수상,수상,positive,
성과/수상,선정,positive,
성과/수상,1위,positive,
성과/수상,최초,positive,
확장,출시,positive,
확장,진출,positive,
확장,협력,positive,
확장,파트너십,positive,
확장,MOU,positive,
상장/M&A,상장,positive,"비상장,상장폐지"
상장/M&A,IPO,positive,
상장/M&A,인수,positive,"인수합병소송,인수포기,인수무산"
정보성,간담회,neutral,
정보성,인터뷰,neutral,
정보성,발표,neutral,
정보성,공개,neutral,
행사,개최,neutral,
행사,참가,neutral,
일반,동향,neutral,
일반,전망,neutral,
