기업명(한글),기업명(영문),그룹/리전(시장),카테고리,보조키워드,제외키워드,
스파크플러스,SparkPlus,Korea,포트폴리오 소식,스파크플러스,"패스트파이브, 위워크, , 공유오피스",
원티드랩,WantedLab,Korea,포트폴리오 소식,"원티드, 이복기, 원티드랩",,
센스톤,SSenStone,Korea,포트폴리오 소식,"유창훈, 센스톤",,
뮤즈라이브,MUZLIVE,Korea,포트폴리오 소식,"키트앨범, 석철",,
긴트,Gint,Korea,포트폴리오 소식,"플루바오토, 김용현",,
리코,RECO,Korea,포트폴리오 소식,"업박스, 폐기물 수집운반, 김근호, 리코",,
웨이브코퍼레이션,WAVE Corp.,Korea,포트폴리오 소식,"웨이브코퍼레이션, 채정훈","wavve, 웨이브, 콘텐츠웨이브",
더블미,DoubleMe,Korea,포트폴리오 소식,"트윈월드, 김희관, 더블미",,
H2O호스피탈리티,H2O Hospitality,Korea,포트폴리오 소식,"H2O Hospitality, 이웅희",,
제노플랜,Genoplan,Korea,포트폴리오 소식,"Genoplan X, 강병규",,
엔씽,N.Thing,Korea,포트폴리오 소식,"식물성 도산, 스마트팜, 김혜연",,
미미박스,MBX,Korea,포트폴리오 소식,"아임미미, 카자, 하형석",,
센트비,SentBe,Korea,포트폴리오 소식,"센트비즈, 핀테크, 최성욱",,
큐비트시큐리티,Qubit Security,Korea,포트폴리오 소식,"프루라, 신승민",,
스와치온,SwatchOn,Korea,포트폴리오 소식,"VMOD, 정연미",,
와탭랩스,WhaTap Labs,Korea,포트폴리오 소식,"와탭, 이동인",,
스테이즈,Stayes,Korea,포트폴리오 소식,"스테이즈, 이병헌",,
락인컴퍼니,Lockin Company,Korea,포트폴리오 소식,"리앱, 최명규",,
파이퀀트,PiQuant,Korea,포트폴리오 소식,"워터스캐너, 피도연",,
블로코,Blocko,Korea,포트폴리오 소식,"아르고, 김종환",,
차트메트릭,Chartmetric,Korea,포트폴리오 소식,"Chartmetric, 조성문",음악,
랜딩인터내셔널,Landing International,Korea,포트폴리오 소식,"K뷰티 월드, 뷰티플루언트, 정사라",뷰티,
요쿠스,Jocoos,Korea,포트폴리오 소식,"플립플랍, 비콜로, 최창훈",,
스윙비,Swingvy,Korea,포트폴리오 소식,최서진,,
쿠딩,Kooding,Korea,포트폴리오 소식,류정빈,,
쿠엔즈버킷,QueensBucket,Korea,포트폴리오 소식,박정용,,
페스카로,Fescaro,Korea,포트폴리오 소식,"FESCARO, 자동차 보안, 홍석민",,
아시안보스,Asian Boss,Korea,포트폴리오 소식,"Asian Boss, Stephen Park",,
프로파운드,Profound,Korea,포트폴리오 소식,"오운드,이유경",,
진캐스트,Genecast,Korea,포트폴리오 소식,"ADPS, 백승찬",,
피치스,Peaches,Korea,포트폴리오 소식,"피치스 도원, 파츠 오일뱅크, 자동차생활, 여인택",,
펄핏,Perfitt,Korea,포트폴리오 소식,이선용,,
젠허브,ZhenHub,Korea,포트폴리오 소식,빈센트푼,,
에이비제트,ABZ,Korea,포트폴리오 소식,"인포크링크, 최하림, 인포크",,
브이로거,Vlogr,Korea,포트폴리오 소식,"셈블, Ssemble, 이태준",,
인스턴트타투,Instant Tattoo,Korea,포트폴리오 소식,"김남숙, 인스턴트타투",,
케어닥,Caredoc,Korea,포트폴리오 소식,"케어닥, 박재병",,
큐리오칩스,CurioChips,Korea,포트폴리오 소식,"Qureator, 백규석",,
피처링,Featuring,Korea,포트폴리오 소식,"인플루언서 마케팅, 장치훈",,
비트바이트,Bitbyte,Korea,포트폴리오 소식,"플레이키보드, PlayKeyboard, 돈이돼지",,
에이임팩트,AImpact,Korea,포트폴리오 소식,"어레인지, Arrange, 윤성진",,
아부하킴,AbuHakim,Korea,포트폴리오 소식,"shipme, 유덕영",,
웰프,Whelp,Korea,포트폴리오 소식,"Whelp, 세이머 라술로브",,
페오펫,Peopet,Korea,포트폴리오 소식,"페오펫, 코스모스이펙트, 최현일",,
픽잇,PICKIT,Korea,포트폴리오 소식,"오잉, Oinng, 최용원",,
크레파스솔루션,CrePass,Korea,포트폴리오 소식,"CrePass, 대안신용평가, 김민정",,
GMG,GMG,Korea,포트폴리오 소식,"Global Mortgage Group, America Mortgages Inc, Donald Klip",,
티킷,Tkit,Korea,포트폴리오 소식,"Tkit, 정효섭",,
옥타코,Octatco,Korea,포트폴리오 소식,"제로트러스트, Octatco, 이지핑거, 유미영",,
로랩스,Rawlabs,Korea,포트폴리오 소식,"에어서플라이, Airsupply, 김원균",,
커리어데이,Careerday,Korea,포트폴리오 소식,"Careerday, 강경민",,
아이클레이브,iClave,Korea,포트폴리오 소식,"RoboMD, 최윤내, 로보엠디",,
샤크마켓,Shark Market,Korea,포트폴리오 소식,"Shark Market, 정성원",,
서울번드,Seoul Bund,Korea,포트폴리오 소식,"Seoul Bund, 박찬호",,
빌리지베이비,Village Baby,Korea,포트폴리오 소식,"베이비빌리, Babybilly, 이정윤",,
퍼스널에이아이,Personal AI,Korea,포트폴리오 소식,"마이디, MyD, 이재영",,
리하베스트,Re:harvest,Korea,포트폴리오 소식,"Re:harvest, 푸드업사이클, 리너지가루, 민명준",,
온도,Ondo,Korea,포트폴리오 소식,"Ondo, 심동현, 온도",,
소프트먼트,Softment,Korea,포트폴리오 소식,"테이블로, Tablero, 장하일, 정재훈",,
문리버,Moonriver,Korea,포트폴리오 소식,"아이템스카우트, Itemscout, 최경준",,
키친인더랩,Kitchen In The Lab,Korea,포트폴리오 소식,"thelabkitchen, 최재환",,
스펙터,Specter,Korea,포트폴리오 소식,"Specter, 스펙터, 윤경욱",,"롤스로이스, 시리즈"
부톡,Bootalk,Korea,포트폴리오 소식,"위티, 프롭테크, 이훈구",,
지지큐,GGQ,Korea,포트폴리오 소식,"GGQ, 이용수, 지지큐컴퍼니, 지지큐",,
페이먼스,Paymonths,Korea,포트폴리오 소식,"Paymonths, Financial, Rebelix, 리벨릭스, 장종욱, 페이먼스",,
틴고랜드,Tingoland,Korea,포트폴리오 소식,"띵고, Thinggo, 하현호, 틴고랜드",,
원소프트다임,Onesoftdigm,Korea,포트폴리오 소식,"Fitrus, Fitrus Light, Fitrus A, 이대호, 원소프트다임",,
잇그린,Itgreen,Korea,포트폴리오 소식,"리턴잇, Returnit, 김선, 다회용기",,
엑스크루,Xcrew,Korea,포트폴리오 소식,"Xcrew, 곽상준, 엑스크루",,
페이워크,Paywork,Korea,포트폴리오 소식,"Paywork, 지투시그마, 손지인, 페이워크",,
이어가다,Eargada,Korea,포트폴리오 소식,"나디오, Nadio, 나디오스튜디오, 최자인, 박현아",,
그로스핏,Growth Fit,Korea,포트폴리오 소식,"Growth Fit, 송창열, 그로스핏",,
로그스택,Logstack,Korea,포트폴리오 소식,"Logstack, 한정규, 로그스택",,
메타파스,Metarpas,Korea,포트폴리오 소식,"솔빛, Solbit, 허철균",,
브이아이코리아,VI Korea,Korea,포트폴리오 소식,"Cays, 케이즈, 신윤정",,
욜카고,YOL CARGO,Korea,포트폴리오 소식,"YOL CARGO, 욜카고, 와이오엘, 정현웅",,
벳플럭스,Vetflux,Korea,포트폴리오 소식,"늘펫플러스, Neulpet Plus, 윤상우",,
플루언트,FluentT,Korea,포트폴리오 소식,"FluentT, 전예찬, talkmotion",,
케이존,KZONE,Korea,포트폴리오 소식,"리맥스, REMEX, 김성수",,
룩인사이트,Lookinsight,Korea,포트폴리오 소식,"약올려, 낱알보상포인트, 가진웅",,
스플랩,Splab,Korea,포트폴리오 소식,"센드타임, Sendtime, 우모, Umoh, 선민승",,
히릿소프트,Hiritsoft,Korea,포트폴리오 소식,"메이더, Maderr, 정주현",,
에크네,EKNE,Korea,포트폴리오 소식,"EKNE, 투고하다, Toogohada, 김민호",,
본작,BONJAC,Korea,포트폴리오 소식,"셀바티코, Selvatico, 배형진",,
소프트랜더스,SoftLanders,Korea,포트폴리오 소식,"SoftLanders, 리로케이션, 해외주재원, 한만주",,
엘로이랩,elroilab,Korea,포트폴리오 소식,"Spectral AI, 유광선",,
베러먼데이코리아,Better Monday Korea,Korea,포트폴리오 소식,"Better Monday, 베러먼데이, 도경백",,
쿼드메디슨,QuadMedicine,Korea,포트폴리오 소식,"마이크로니들, 백승기",,
유유유유유,UUUUU,Korea,포트폴리오 소식,"UUUUU, 셀프젤네일, 김민서, 유유유유유",,
해브해드,Havehad,Korea,포트폴리오 소식,"Havehad, 시티보이룩, 이승환",,
비마이프렌즈,bemyfriends,Korea,포트폴리오 소식,"b.stage, 비스테이지, 서우석",,
루센트블록,LUCENTBLOCK,Korea,포트폴리오 소식,"소유, SOU, 부동산 조각투자, 허세영",,
앰버로드,AMBER ROAD,Korea,포트폴리오 소식,"마이너리포트, miner report, 임언호",,
이노제닉스,INOGENIX,Korea,포트폴리오 소식,"AGA, 액체생검, 이노제닉스, 대장암, 이혜영",,
에큐리바이오,Accurie Biosciences,Korea,포트폴리오 소식,"enPhaG, 신수안",,
리빗,LIVIT,Korea,포트폴리오 소식,"탄솔루션, TANSOLUTION, 이정민",,
랭코드,Langcode,Korea,포트폴리오 소식,"Langcode CXP, 김민준",,
미드바르,Midbar,Korea,포트폴리오 소식,"에어팜, AirFarm, 서충모",,
담화컴퍼니,Damhwa Company,Korea,포트폴리오 소식,"술담화, Sooldamhwa, 이재욱",,
배젠,Baegen,Korea,포트폴리오 소식,"BG-519, 배준",,
메디띵스,MEDiThings,Korea,포트폴리오 소식,"메디라이트, 배뇨장애",,
도시곳간,Dosigotgan,Korea,포트폴리오 소식,"도시곳간, 민요한",,
마인이스,Mine.is,Korea,포트폴리오 소식,"차란, Charan, 김혜성",,
아스타,Astar,Korea,포트폴리오 소식,"카피클, Copykle, 이재원",,
바닐라브레인,Vanilabrain,Korea,포트폴리오 소식,"장사왕, 윤도선",,
잇마플,Eatmapl,Korea,포트폴리오 소식,"맛있저염, 김현지",,
로지스팟,logispot,Korea,포트폴리오 소식,"로지스팟, 박준규",,
투스노트,toothnote,Korea,포트폴리오 소식,"투스노트, toothnote, 지아이빌리언스, 최영성",,
스파크펫,Sparkpet,Korea,포트폴리오 소식,"놀로, 최두열",,
카머스,CARMERCE,Korea,포트폴리오 소식,"카머스, 중고차, 안인성",,
펄스애드,PulseAd,Korea,포트폴리오 소식,"PulseAd, 윤거성",,
스타일메이트,Stylemate,Korea,포트폴리오 소식,"스타일메이트, 한상희",,
데이터빈,DataBean,Korea,포트폴리오 소식,"스마트박스, 김수용",,
드래프타입,Draftype,Korea,포트폴리오 소식,"드래프타입스튜디오, 김대희",,
쿠파,KUPA,Korea,포트폴리오 소식,"엣지, Edge, 노명헌",,
리체,LICHE,Korea,포트폴리오 소식,"로마드, 김홍규",,"센텀, GS"
제스트,ZEST Inc.,Korea,포트폴리오 소식,"빌드체인, 정호건",,
캥스터즈,Kangsters Corp.,Korea,포트폴리오 소식,"휠리엑스, 휠리엑스플레이, 휠스터미니, 김강",,
피에로컴퍼니,Pierrot Company Inc.,Korea,포트폴리오 소식,"폰고, 리고, 리고트레이드, 박민진",,
임팩터스,IMPACTUS,Korea,포트폴리오 소식,"임팩트 스페이스, 김보경",,
폴리머라이즈,Polymerize Korea LLC,Korea,포트폴리오 소식,"Polymerize Labs, 폴리머라이즈코리아, 박은규, Sandeep Kunal",,
