id,title,oldTone,newTone,reason
cmp0lkpkr0002bg7s909sixu5,"AI 스타트업에 공공데이터 개방…중기부, 오픈데이터 챌린지 개최 - 조선비즈",NEUTRAL,NEUTRAL,"노이즈: center_institution"
cmp0lkpkx0003bg7sxemfpq2m,"신보, 서울 동북권 첫 AI 스타트업 전문 보육공간 열고 혁신기업 육성",NEUTRAL,NEUTRAL,"노이즈: center_institution"
cmp0lkpl30004bg7ss2mmsagw,"신용보증기금, 서울 동북권 최초 AI 스타트업 보육 공간 개소",NEUTRAL,NEUTRAL,"노이즈: center_institution"
cmp0lkpl70005bg7s4e4kbnld,"신보, 서울 동북권 첫 AI 창업 허브 개소…이억원 스타트업이 미래 성장동력",NEUTRAL,NEUTRAL,"노이즈: center_institution"
cmp0lkplh0007bg7s9wyreenu,"신보, 광진에 ‘NEST AI-Lab’ 개소…AI 스타트업 육성 강화",NEUTRAL,NEUTRAL,"노이즈: center_institution"
cmp0lkplq0009bg7s9iiexrv1,"서울 동북권 첫 정책금융 창업 둥지…AI 스타트업 키운다",NEUTRAL,NEUTRAL,"노이즈: center_institution"
cmp0lkplz000bbg7s5q9984fy,"신보, 서울 광진구에 AI 스타트업 보육공간 개소",NEUTRAL,NEUTRAL,"노이즈: center_institution"
cmp0lkpm3000cbg7sydpojgo5,"신보, AI 스타트업 전문 보육 공간 ‘NEST AI-Lab’ 개소",NEUTRAL,NEUTRAL,"노이즈: center_institution"
cmp0lkpmd000ebg7sbt2iriib,"중기부, AI 창업기업 발굴 나선다…오픈데이터 챌린지 개최",NEUTRAL,NEUTRAL,"노이즈: center_institution"
cmp0lkpmz000ibg7sic0usahz,"공공과제 AI로 해법 찾아줄 스타트업 없나요?…중기부, 챌린지 개최 - 머니투데이",NEUTRAL,NEUTRAL,"노이즈: center_institution"
cmp0lkpnm000nbg7su9bhz9iq,"중기부, 공공데이터 활용 AI 창업기업 모집",NEUTRAL,NEUTRAL,"노이즈: center_institution"
cmr4kjj56008vv80a5o1jw8cc,"스파크랩, 한국패션산업협회와 업무협약 체결",null,NEUTRAL,"노이즈: center_institution"
cmr4kjj56008wv80are2bopfg,"스파크랩, 한국패션산업협회와 K-패션 스타트업 지원",null,NEUTRAL,"노이즈: center_institution"
cmr4kjj56008xv80a1pqrn21l,"[게시판] 패션산업협회, 스파크랩과 패션 브랜드 발굴 '맞손'",null,NEUTRAL,"노이즈: center_institution"
cmr4kjj56008zv80anlnx1km8,"스파크랩·서울대병원 손잡고 바이오 스타트업 생태계 육성",null,NEUTRAL,"노이즈: center_institution"
cmr4kjj560093v80axopicfg3,"신약도, 제네릭도, 희귀약도 결국 '약가'... 항암제개발 투심 '훈훈'",null,NEUTRAL,"신뢰도 낮음 (55%)"
