ID,제목,이전카테고리,이전톤,이전노이즈,새카테고리,새톤,새노이즈,사유
cmraxo6qg00c5plwjwekj5zvb,"AI 투자 늘린 MS… 직원 4800명 감원",industry_trend,neutral,false,industry_trend,negative,false,"톤 부정 변경"
cmraxoo0500lnplwj3w6bo39i,"고윤정, 영화 '남벌' 참전…이병헌과 한 팀 된다",unrelated,neutral,false,unrelated,neutral,true,"새로 노이즈"
cmraxo4dr00auplwj3h049fie,"전통체험·야간투어… '관광도시 부산' 더 풍성해진다",unrelated,positive,false,unrelated,positive,true,"새로 노이즈"
cmraxoj0w00iyplwjo6jj4uzk,""오래도록 남을 시간"…이재욱·신예은·홍민기, '닥터 섬보이' 종영 소...",unrelated,positive,false,unrelated,neutral,true,"새로 노이즈"
cmraxoo6j00lqplwjf93gtn8p,"고윤정, 이병헌 만난다...무협 액션 '남벌' 출연 확정 [공식]",unrelated,neutral,false,unrelated,positive,true,"새로 노이즈"
cmraxoqgg00myplwj4z8jj7pu,"[컬처핏 A+(75)] 한화그룹, '거대한 혁신'에 매력을 느낀다...김선 우주총...",portfolio_company,positive,false,unrelated,positive,true,"새로 노이즈"
cmraxnzfe0083plwjz8n0wt8g,"‘2026 대한민국 AX 대상’ 영광의 얼굴들",industry_trend,positive,false,unrelated,positive,true,"새로 노이즈"
cmraxoj6i00j1plwjjxaxiz3z,"이재욱·신예은 ‘닥터 섬보이’ 오늘(7일) OST 앨범 발매..총 24트랙 수...",unrelated,neutral,false,unrelated,neutral,true,"새로 노이즈"
cmraxoj8600j2plwjpvgkgjjg,"‘닥터 섬보이’ 종영 D-DAY..이재욱 “많은 것 배우고 느껴, 기억에 남...",unrelated,positive,false,unrelated,positive,true,"새로 노이즈"
cmraxnrsf003tplwjn78qjgc3,"[전화성의 스타트업 모닝커피 1350회] 플러스메이크",portfolio_company,neutral,false,unrelated,neutral,true,"새로 노이즈"
cmrbbelvz005ffdp67w0rzflp,"[부산소식] 부산박물관, 국내 최고 채색필사본 학술심포지엄",unrelated,neutral,false,unrelated,neutral,true,"새로 노이즈"
cmraxnx4v006uplwjrbpindlw,"中 바이트댄스·알리바바, 개인화 AI 에이전트 중단…새 규제 앞두고 제동",industry_trend,neutral,false,industry_trend,negative,false,"톤 부정 변경"
cmraxoqoi00n2plwj8t3uq57m,"케어닥, 류승룡과 함께한 신규 광고 공개 “돌봄 인식 개선으로 어르신 일상에 ‘새로운 봄’ 더한다”",portfolio_company,positive,false,portfolio_company,positive,true,"새로 노이즈"
cmraxosde00nzplwjhes2sory,"이선용 써니스코파 회장, 모교 동국대에 로터스관 건립기금 1억원기부",unrelated,positive,false,unrelated,positive,true,"새로 노이즈"
cmraxosid00o2plwj0hsn3n43,"동국대, 로터스관 건립 이선용 회장, 발전기금 1억 원 기부",unrelated,positive,false,unrelated,positive,true,"새로 노이즈"
cmraxoph500mfplwjz0l5qd1o,"지구의 온도(G9ONDO), 인터참코리아 2026 참가 성료…해외 바이어와 글로벌 시장 확장 가능성 확인",portfolio_company,positive,false,unrelated,positive,true,"새로 노이즈"
cmr8fc2gs000ir7tdz24swz8l,""스타트업 투자 호황 속 씨앗 빙하기"…'딜 가뭄'에 AI·딥테크만 생존",industry_trend,neutral,false,industry_trend,negative,false,"톤 부정 변경"
cmraxnx0h006splwj8sfb50nz,"AI 에이전트는 ‘전기 먹는 하마’… 챗봇보다 최대 137배 많이 쓴다",industry_trend,neutral,false,industry_trend,negative,false,"톤 부정 변경"
cmr7njw7w00cc119zp6gdud7p,"우주항공·방산 폭넓게 투자.. 1년 수익률 57.65% 성장세 [이런 펀드 어...",industry_trend,positive,false,unrelated,positive,true,"새로 노이즈"
cmr7njx7200ci119zgyxy7h43,""'영국 이민 비판' 머스크 게시물, 스페이스X의 2배"",unrelated,neutral,true,unrelated,negative,false,"톤 부정 변경"
cmr7niqsj005f119zq1qmebus,"국립창원대, 국책사업 2년간 3600억 확보",unrelated,positive,false,unrelated,positive,true,"새로 노이즈"
cmr7njnw300ay119zbclt2is6,"‘피란 수도 부산’으로 밤마실가자",industry_trend,neutral,false,industry_trend,neutral,true,"새로 노이즈"
cmr8fc2jj0011r7tdewepzi5f,"저커버그 “AI 에이전트 진전 더뎌”… 조직 개편 진통 시인",competitor,neutral,false,industry_trend,negative,false,"톤 부정 변경"
cmraxnpwd002rplwjyows9g1j,"연구실에서 나온 기술…청년 창업가들 "IP 방어가 더 어려워"",industry_trend,neutral,false,industry_trend,negative,false,"톤 부정 변경"
cmraxokmf00jtplwjgbzrvnnp,"이선희, 24년 함께한 소속사와 동행 마무리",unrelated,neutral,false,unrelated,neutral,true,"새로 노이즈"
cmr7nij8q004a119zkxzwsak9,"저커버그 “AI 에이전트 개발, 기대만큼 빠르지 않아” - 조선비즈",industry_trend,neutral,false,industry_trend,negative,false,"톤 부정 변경"
cmr4510ex001thspecr1d2ok7,"저커버그 "AI 에이전트 개발, 기대만큼 빠르지 않다"",industry_trend,neutral,false,competitor,negative,false,"톤 부정 변경"
cmr4511150069hspeaax6kna4,""항생제 내성에 2050년까지 3900만명 사망…AI 연구 속도내야"[김창영의 실리콘밸리Look]",industry_trend,neutral,false,industry_trend,negative,false,"톤 부정 변경"
cmr7niw9p006b119z3op64gr3,"박다혜, 모바일 게임 OST 가창…'라이즈 어게인' 2일 공개",unrelated,neutral,false,unrelated,neutral,true,"새로 노이즈"
cmraxolx500kjplwjkyxy2rff,"[기업동향] 빌리지베이비, 여름 시즌 맞이 프로모션 外",portfolio_company,neutral,false,unrelated,neutral,true,"새로 노이즈"
cmr2plb0p00fffltzbrzksmrj,"양천구, 여름방학 맞아 청소년 대상 AI 미래인재양성 프로그램 운영",unrelated,positive,false,unrelated,neutral,true,"새로 노이즈"
cmr2plb2l00fzfltzyiaikapx,"세종사이버대 AI실무활용학과, 생성형 AI 활용 '바이브코딩' 온라인 릴레이 특강 개최",unrelated,positive,false,unrelated,positive,true,"새로 노이즈"
cmr2plbwa00oefltz1fzo58fy,"대구어린이세상, 가족과 함께 배우는 ESG 탄소중립 체험캠프 연다",unrelated,positive,false,unrelated,positive,true,"새로 노이즈"
cmraxnu2w0052plwjfg6u9nkp,"코스포 "한성숙 총리, AI 시대와 기술주도 성장 국면 적임자"",unrelated,positive,false,unrelated,positive,true,"새로 노이즈"
cmraxoekn00gfplwjlle7ez6h,"한성숙 총리, 중기부 직원들에게 감사 인사…“공직은 혼자 해낼 수 없...",unrelated,positive,false,unrelated,neutral,true,"새로 노이즈"
cmr2plc2v00qhfltztr3en8q5,"부여군, '궁남지서 탄소중립 캠페인 전개'",industry_trend,positive,false,unrelated,neutral,true,"새로 노이즈"
cmr1a5id600oxsv7q70ujxlam,"‘충남 탄소업슈 포인트’ 지역화폐 전환하세요!",unrelated,neutral,false,unrelated,neutral,true,"새로 노이즈"
cmr1a5egf000nsv7q9jonrwoe,"해외 건설 기술 스타트업에 자본 집중… AI 조달·입찰 자동화가 국내 현장 인력 구조를 흔든다",industry_trend,neutral,false,industry_trend,negative,false,"톤 부정 변경"
cmr45123s00f7hspe8s6n9vur,"[C컷] 우중 그란폰도 사진의 이상한 흔적… 알고 보니 생성형 AI 편집",industry_trend,neutral,false,unrelated,neutral,true,"새로 노이즈"
cmr1a5gzl00fdsv7q5qua01km,""AI 없으면 불안"…이용자 6명 중 1명 금단 증상",industry_trend,neutral,false,industry_trend,negative,false,"톤 부정 변경"
cmr1a5gtz00easv7qt4srunu0,"시큐웨이브 "생성형 AI 도입 빨라져 공격 표면 확장"",industry_trend,neutral,false,industry_trend,negative,false,"톤 부정 변경"
cmr1a5h2000fusv7q20ot5hh1,"삼성전자 'AI 성과지표 정해진 것 없다' … 노동량 평가 '선긋기'",industry_trend,neutral,false,competitor,negative,false,"톤 부정 변경"
cmr2plc7c00rwfltzw13p7738,"하야시다 리코, 순창오픈 정구대회 2관왕 순창군 위상 높여",unrelated,positive,false,unrelated,positive,true,"새로 노이즈"
cmr1a5imx00qssv7qm0h7x2m2,"순창군, 국제 정구대회 성공 개최…하야시다 리코 2관왕 영예",unrelated,positive,false,unrelated,positive,true,"새로 노이즈"
cmr7nhuxa000a119zf05sam9k,"[마켓인]AI 메가딜이 키운 착시…CVC 시장도 쏠림 심화",industry_trend,neutral,false,industry_trend,negative,false,"톤 부정 변경"
cmqzupiwa00efgswgi4i3jxct,"“올해 AI 예산 1분기에 다 써”… 토큰 관리에 기업들 골머리",industry_trend,neutral,false,industry_trend,negative,false,"톤 부정 변경"
cmqzupjv500mvgswg4id69mub,"청하 푸른 걷기대회 성료…탄소중립 실천·주민 화합 한마당",unrelated,positive,false,unrelated,positive,true,"새로 노이즈"
cmqzupjwi00n9gswg1nfso1sb,"문경 전국환경백일장 성황… 탄소중립을 문학으로 노래하다",industry_trend,positive,false,unrelated,positive,true,"새로 노이즈"
cmqyfa03f00lo7cwuw7xh3tkg,"대한적십자사 화양봉사회, 자원봉사 릴레이와 탄소중립 환경정화활동 진행",unrelated,positive,false,unrelated,positive,true,"새로 노이즈"
cmqzupjyg00nrgswgvr7g7jf5,"새마을지도자 안성3동협의회 녹색 새마을! 탄소중립 실천",unrelated,positive,false,unrelated,positive,true,"새로 노이즈"
cmqyf9z1v00dp7cwu654uo6q2,""AI는 노인을 차별하고 있었다"... KAIST, 생성형 AI 속 '은밀한 연령 편향' 세계 최초 수준으로",industry_trend,neutral,false,industry_trend,negative,false,"톤 부정 변경"
cmqyf9xkh003g7cwuup2s22e7,"AI 에이전트 시대 사이버 공격의 민주화",industry_trend,neutral,false,industry_trend,negative,false,"톤 부정 변경"
cmqyf9x9f001g7cwus34qtcs9,"대기업 중심 방산, 국방 AX 혁신기업 발굴해야…“중기 참여 규모 전체 10%도 안돼”",industry_trend,neutral,false,industry_trend,negative,false,"톤 부정 변경"
cmqyf9z3l00e27cwueisob64n,"생성형 AI의 '은밀한 연령편향'…"노인에 대해 미묘한 고정관념"",industry_trend,neutral,false,industry_trend,negative,false,"톤 부정 변경"
cmqu4ybnv0047vv2ob8jr8no7,"망분리 풀고 'AI 에이전트' 길 열렸다···'보안' 부담은 백배",industry_trend,neutral,false,industry_trend,negative,false,"톤 부정 변경"
cmqu4yejh00uhvv2oj6409n2i,"베네수 앞바다서 2회 연속 강진…푸에르토리코 쓰나미 경보",unrelated,neutral,false,unrelated,neutral,true,"새로 노이즈"
cmqspilq700g4klqbs900hho7,"‘AI 8종 무료’ 전남대, 학생들 체감도는 “글쎄…”",industry_trend,neutral,false,industry_trend,negative,false,"톤 부정 변경"
cmr1a5gs000dxsv7q56qcldbn,"공정위, 2026년 공정거래법상 지주회사 및 기업형 벤처캐피탈 현황 분석·공개",industry_trend,neutral,false,industry_trend,neutral,true,"새로 노이즈"
cmqra2od9002mn7998w6yvfiw,"모빌리티 인재 확보와 스타트업 협력",industry_trend,neutral,false,industry_trend,neutral,true,"새로 노이즈"
cmqra2ptx00d3n799xam0p2cw,"서울대병원, 7월 11~12일 '기도 관리 워크숍' 개최",unrelated,neutral,false,unrelated,neutral,true,"새로 노이즈"
cmqra2s7900vkn79992k20uqf,"[미래에셋벤처투자 공매도]④ 차이니즈월 검증 한계…공은 금융당국에",unrelated,neutral,false,portfolio_company,negative,false,"톤 부정 변경"
cmqra2qbr00gvn799vu0oz6se,"AI 허위 콘텐츠 범람…표시제만으로 막을 수 있나",industry_trend,neutral,false,industry_trend,negative,false,"톤 부정 변경"
cmqra2rnq00r1n799fcvvp1lo,"미추홀구청소년센터 ‘자·몽·청’, 삼성웰스토리서 진로·직업 체험",unrelated,neutral,false,unrelated,positive,true,"새로 노이즈"
cmqyf9zxp00kf7cwun4u5bmsk,"[포토] 2026 유니콘 비전 선포식",industry_trend,neutral,false,unrelated,neutral,true,"새로 노이즈"
cmqra2rin00pun799z678ktxl,"고양시, 환경의 날 행사 개최…탄소중립 실천 프로그램 운영",unrelated,positive,false,unrelated,positive,true,"새로 노이즈"
cmqra2pvz00din799sjubznzu,"김종호 여의도성모병원 교수, 대한디지털헬스학회 포스터구연 '대상'",industry_trend,positive,false,unrelated,positive,true,"새로 노이즈"
cmqra2s1300u6n799b6jhslgn,"현대차 푸에르토리코, 칸라이언즈 2026 오디오 그랑프리… 삼성·이노션 베를린·하이네켄 코리아 본상 수상",competitor,neutral,false,unrelated,neutral,true,"새로 노이즈"
cmqpumw2800g9nf9814ed6e5r,"[초기투자 실종]③ IPO 13년 걸리는데…펀드는 길어야 8년",industry_trend,neutral,false,industry_trend,negative,false,"톤 부정 변경"
cmqpumwjb00k0nf98pwgdsla3,""모두의 창업, 혁신형·자영업 '모두' 담아선 안돼"",industry_trend,neutral,false,industry_trend,negative,false,"톤 부정 변경"
cmqra2s7e00vln799z2wg4hky,"[미래에셋벤처투자 공매도]③ 대량보유자, 스페이스X 주관사와 연결?",unrelated,neutral,false,portfolio_company,negative,false,"톤 부정 변경"
cmqra2qd300h5n799k181rm7k,"[PIS FAIR 2026] ‘개인정보 처리방침’ 평가해보니... “생성형 AI 기업 가장 미흡”",industry_trend,neutral,false,industry_trend,negative,false,"톤 부정 변경"
cmqpumvrk00dunf988u429hj0,""생성형 AI, 고숙련 직군-저학력층 간 양극화 현상 심화할 수도"",industry_trend,neutral,false,industry_trend,negative,false,"톤 부정 변경"
cmqpumx7z00pvnf98pb0lyb2i,"韓 '관찰대상국' 등재 노리지만…MSCI "근본 문제 여전히 미해결"",industry_trend,neutral,false,industry_trend,negative,false,"톤 부정 변경"
cmqof6z8f00ciyupued4vzw6r,"[투데이춘추] 거대 지능의 역설: ‘닫기 버튼’ 하나가 드러낸 생성형 AI의 민낯",industry_trend,neutral,false,industry_trend,negative,false,"톤 부정 변경"
cmqof6xs5002eyupu50si5s90,"AI 비용 부담 현실화…아마존·월마트·메타, 사용량 제한 나서",industry_trend,neutral,false,industry_trend,negative,false,"톤 부정 변경"
